l,model_seed,train_index,test_index,tau_f_nmse,tau_f_se,nmse,se
191.0,39346948.0,52260.0,189.0,5.5842,5.7885,0.35540326671538014,0.24663032253719555
192.0,49735608.0,10648.0,97.0,4.9259,4.9259,0.2489856488018276,0.24227527295754608
193.0,12745812.0,86828.0,110.0,5.879300000000001,6.0155,0.35963683495151233,0.23820082984359073
194.0,15037951.0,9044.0,289.0,3.4277,3.632,0.31551957861811886,0.24351847979229288
195.0,51184723.0,40968.0,33.0,4.0179,4.154100000000001,0.3560004055217072,0.24874177073748518
196.0,202963.0,50816.0,84.0,6.2879000000000005,6.356000000000001,0.29703816405916156,0.23455373305132707
197.0,64336550.0,26797.0,468.0,3.7001000000000004,3.9271000000000003,0.3155139021061348,0.24725386053558332
198.0,61220814.0,56158.0,392.0,3.9044000000000003,3.9952,0.32829662611976723,0.24598491153994595
199.0,337424.0,9058.0,293.0,5.6523,5.7431,0.27486230411312923,0.24956058827882044
200.0,37762891.0,31485.0,471.0,4.0633,4.3811,0.3899616143093815,0.24744410027944166
201.0,82272408.0,14213.0,205.0,4.471900000000001,4.6535,0.413353789286345,0.23633607967977266
202.0,48669094.0,2355.0,280.0,5.448,6.2879000000000005,0.3702612679715531,0.24892094120729413
203.0,64856248.0,13746.0,235.0,2.2246,2.27,0.29873966047046324,0.23837887585024536
204.0,92506690.0,6822.0,97.0,4.1768,4.1768,0.23986563316699547,0.23770487873252605
205.0,41976667.0,97871.0,32.0,3.3596000000000004,3.6093,0.32114387494026014,0.24409081418306516
206.0,347438.0,40481.0,106.0,3.4958,3.5866000000000002,0.2853676146464018,0.24252166405569953
207.0,68912522.0,75942.0,135.0,3.4958,3.5185000000000004,0.27302856571105716,0.23374253069347917
208.0,75704149.0,21243.0,224.0,4.9486,5.198300000000001,0.32926736466109796,0.24215582443791436
209.0,14451937.0,63036.0,81.0,3.0191000000000003,3.9498,0.3730962804375148,0.2450181760636121
210.0,17324123.0,34308.0,351.0,4.5627,5.0167,0.3792233514828001,0.2461831192249208
211.0,77511285.0,14328.0,406.0,4.5854,4.8578,0.2844236398096662,0.24863174480607703
212.0,32721342.0,11723.0,434.0,4.3357,4.767,0.33327918384547556,0.2450146192313657
213.0,70970300.0,14628.0,322.0,3.7909,3.8363,0.2945799470010005,0.24944991584498175
214.0,29861744.0,23998.0,203.0,4.9713,5.1756,0.31568505630761134,0.24825348405313016
215.0,4798809.0,87339.0,446.0,4.2222,4.2676,0.3201298421701893,0.242802323571192
216.0,46495044.0,52158.0,170.0,5.3799,5.4253,0.2766906834648659,0.24454938061457918
217.0,12063419.0,47214.0,221.0,4.2903,4.54,0.3621535835128247,0.24843447360380763
